signal_idx,entry_time,date,strategy,direction,reason,level,spread_moves,body_moves,recent_moves,entry,stop,target,exit_price,exit_time,outcome,pnl_moves,hold_minutes,ambiguous_same_candle
1749,2026-06-03 11:10:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 33.0 moves from recent high + red candle,1.16168,3.0,13.0,11.0,1.16134,1.16152,1.16109,1.16109,2026-06-03 11:15:00+03:00,WIN,25.0,5,False
1754,2026-06-03 11:15:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 31.0 moves impulse,1.1612,1.0,17.5,31.0,1.16103,1.16121,1.16078,1.16121,2026-06-03 11:18:00+03:00,LOSS,-18.0,3,False
1769,2026-06-03 11:30:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 27.5 moves from recent low + green candle,1.16102,4.0,9.5,18.0,1.16132,1.16114,1.16157,1.16114,2026-06-03 11:33:00+03:00,LOSS,-18.0,3,False
1778,2026-06-03 11:39:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 30.0 moves impulse,1.16098,1.0,20.0,30.0,1.16079,1.16097,1.16054,1.16054,2026-06-03 11:43:00+03:00,WIN,25.0,4,False
1788,2026-06-03 11:49:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 42.5 moves from recent low + green candle,1.16052,3.0,18.0,29.5,1.16096,1.16078,1.16121,1.16078,2026-06-03 11:59:00+03:00,LOSS,-18.0,10,False
1798,2026-06-03 11:59:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 23.5 moves from recent high + red candle,1.16106,6.0,10.5,7.0,1.16079,1.16097,1.16054,1.16097,2026-06-03 12:00:00+03:00,LOSS,-18.0,1,False
1808,2026-06-03 12:09:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 47.5 moves from recent low + green candle,1.1608,2.0,10.0,18.5,1.16128,1.1611,1.16153,1.1611,2026-06-03 12:15:00+03:00,LOSS,-18.0,6,False
1818,2026-06-03 12:19:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 30.5 moves from recent low + green candle,1.16109,4.0,13.5,21.0,1.16142,1.16124,1.16167,1.16124,2026-06-03 12:29:00+03:00,LOSS,-18.0,10,False
1826,2026-06-03 12:27:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 24.5 moves from recent high + red candle,1.1616,3.0,9.5,17.0,1.16134,1.16152,1.16109,1.16109,2026-06-03 12:31:00+03:00,WIN,25.0,4,False
1838,2026-06-03 12:39:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 28.5 moves from recent low + green candle,1.16097,4.0,8.0,23.5,1.16127,1.16109,1.16152,1.16152,2026-06-03 12:47:00+03:00,WIN,25.0,8,False
1850,2026-06-03 12:51:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 28.0 moves from recent high + red candle,1.16156,2.0,13.5,24.5,1.16127,1.16145,1.16102,1.16145,2026-06-03 13:00:00+03:00,LOSS,-18.0,9,False
1857,2026-06-03 12:58:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 22.5 moves from recent low + green candle,1.16108,4.0,13.0,2.0,1.16133,1.16115,1.16158,1.16158,2026-06-03 13:04:00+03:00,WIN,25.0,6,False
1863,2026-06-03 13:04:00+03:00,2026-06-03,Fast Impulse Breakout,BUY,Break above 20m high + 25.0 moves impulse,1.16156,3.0,27.5,25.0,1.16164,1.16146,1.16189,1.16189,2026-06-03 13:05:00+03:00,WIN,25.0,1,False
1868,2026-06-03 13:09:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 58.0 moves from recent high + red candle,1.1623,2.0,20.5,9.0,1.16171,1.16189,1.16146,1.16146,2026-06-03 13:12:00+03:00,WIN,25.0,3,False
1894,2026-06-03 13:35:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 29.0 moves from recent low + green candle,1.16135,4.0,9.5,4.5,1.16166,1.16148,1.16191,1.16148,2026-06-03 13:47:00+03:00,LOSS,-18.0,12,False
1901,2026-06-03 13:42:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 25.0 moves from recent low + green candle,1.16149,6.0,10.0,6.5,1.16177,1.16159,1.16202,1.16159,2026-06-03 13:45:00+03:00,LOSS,-18.0,3,False
1906,2026-06-03 13:47:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 30.0 moves from recent high + red candle,1.1618,3.0,8.5,24.0,1.16148,1.16166,1.16123,1.16166,2026-06-03 13:52:00+03:00,LOSS,-18.0,5,False
1911,2026-06-03 13:52:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 23.0 moves from recent low + green candle,1.16146,1.0,12.5,19.5,1.16169,1.16151,1.16194,1.16178,2026-06-03 14:12:00+03:00,WIN,9.0,20,False
1926,2026-06-03 14:07:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 26.5 moves from recent low + green candle,1.16154,1.0,10.0,16.5,1.16181,1.16163,1.16206,1.16198,2026-06-03 14:27:00+03:00,WIN,17.0,20,False
1940,2026-06-03 14:21:00+03:00,2026-06-03,Fast Reversal,BUY,Rise 28.0 moves from recent low + green candle,1.1617,5.0,10.0,14.5,1.16201,1.16183,1.16226,1.1619,2026-06-03 14:41:00+03:00,LOSS,-11.0,20,False
1961,2026-06-03 14:42:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 28.0 moves from recent high + red candle,1.16209,2.0,8.5,21.0,1.1618,1.16198,1.16155,1.16198,2026-06-03 14:45:00+03:00,LOSS,-18.0,3,False
1967,2026-06-03 14:48:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 23.5 moves from recent high + red candle,1.16223,2.0,13.0,19.0,1.16199,1.16217,1.16174,1.16217,2026-06-03 14:51:00+03:00,LOSS,-18.0,3,False
1974,2026-06-03 14:55:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 33.0 moves from recent high + red candle,1.16226,2.0,14.0,16.5,1.16192,1.1621,1.16167,1.16167,2026-06-03 14:57:00+03:00,WIN,25.0,2,False
1979,2026-06-03 15:00:00+03:00,2026-06-03,Fast Impulse Breakout,SELL,Break below 20m low + 32.0 moves impulse,1.16164,4.0,17.0,32.0,1.1616,1.16178,1.16135,1.16135,2026-06-03 15:13:00+03:00,WIN,25.0,13,False
1985,2026-06-03 15:06:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 35.5 moves from recent high + red candle,1.16186,5.0,8.5,1.0,1.16148,1.16166,1.16123,1.16123,2026-06-03 15:15:00+03:00,WIN,25.0,9,False
1992,2026-06-03 15:13:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 44.0 moves from recent high + red candle,1.1617,2.0,15.0,20.5,1.16125,1.16143,1.161,1.16143,2026-06-03 15:14:00+03:00,LOSS,-18.0,1,False
1997,2026-06-03 15:18:00+03:00,2026-06-03,Fast Reversal,SELL,Drop 26.5 moves from recent high + red candle,1.16152,4.0,11.0,0.0,1.16123,1.16141,1.16098,1.16098,2026-06-03 15:23:00+03:00,WIN,25.0,5,False
