time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,open_mid,high_mid,low_mid,close_mid,spread_moves,date
2026-06-02 11:50:00+03:00,1.16448,1.16449,1.16441,1.16445,1.16452,1.16453,1.16444,1.16449,1.1644999999999999,1.16451,1.164425,1.1644700000000001,4.000000000004,2026-06-02
2026-06-02 11:51:00+03:00,1.16444,1.16444,1.16437,1.16441,1.16448,1.16448,1.1644,1.16442,1.16446,1.16446,1.164385,1.164415,1.0000000000065512,2026-06-02
2026-06-02 11:52:00+03:00,1.16442,1.16448,1.16441,1.16442,1.16444,1.1645,1.16444,1.16444,1.1644299999999999,1.16449,1.164425,1.1644299999999999,1.9999999999908977,2026-06-02
2026-06-02 11:53:00+03:00,1.16441,1.16445,1.16441,1.16443,1.16442,1.16447,1.16442,1.16445,1.164415,1.16446,1.164415,1.16444,1.9999999999908977,2026-06-02
2026-06-02 11:54:00+03:00,1.16442,1.16442,1.16437,1.16438,1.16444,1.16446,1.16441,1.16442,1.1644299999999999,1.16444,1.16439,1.1644,4.000000000004,2026-06-02
2026-06-02 11:55:00+03:00,1.16439,1.16442,1.16434,1.16434,1.16442,1.16446,1.16438,1.16438,1.164405,1.16444,1.1643599999999998,1.1643599999999998,4.000000000004,2026-06-02
2026-06-02 11:56:00+03:00,1.16434,1.16435,1.16419,1.16419,1.16437,1.16438,1.16425,1.16425,1.164355,1.164365,1.16422,1.16422,5.999999999994897,2026-06-02
2026-06-02 11:57:00+03:00,1.16418,1.16429,1.16418,1.16421,1.16423,1.16431,1.16422,1.16424,1.164205,1.1643,1.1642000000000001,1.164225,2.9999999999974487,2026-06-02
2026-06-02 11:58:00+03:00,1.1642,1.16424,1.16419,1.16424,1.16423,1.16429,1.16423,1.16429,1.164215,1.1642649999999999,1.1642100000000002,1.1642649999999999,5.000000000010552,2026-06-02
2026-06-02 11:59:00+03:00,1.16424,1.16435,1.16422,1.16435,1.16428,1.1644,1.16427,1.1644,1.16426,1.1643750000000002,1.164245,1.1643750000000002,5.000000000010552,2026-06-02
2026-06-02 12:00:00+03:00,1.16434,1.16436,1.1642,1.1642,1.1644,1.16441,1.16423,1.16423,1.16437,1.164385,1.164215,1.164215,3.000000000019653,2026-06-02
2026-06-02 12:01:00+03:00,1.16418,1.16422,1.16414,1.16417,1.16423,1.16426,1.16419,1.16419,1.164205,1.16424,1.1641650000000001,1.16418,2.0000000000131024,2026-06-02
2026-06-02 12:02:00+03:00,1.16415,1.16424,1.16414,1.16421,1.1642,1.16428,1.16419,1.16424,1.164175,1.16426,1.1641650000000001,1.164225,2.9999999999974487,2026-06-02
2026-06-02 12:03:00+03:00,1.16419,1.16419,1.16405,1.16406,1.16424,1.16424,1.16408,1.16408,1.164215,1.164215,1.164065,1.1640700000000002,1.9999999999908977,2026-06-02
2026-06-02 12:04:00+03:00,1.16406,1.16412,1.164,1.16411,1.1641,1.16416,1.16403,1.16413,1.16408,1.1641400000000002,1.164015,1.16412,2.0000000000131024,2026-06-02
2026-06-02 12:05:00+03:00,1.16411,1.1642,1.16411,1.16419,1.16414,1.16423,1.16414,1.16421,1.1641249999999999,1.164215,1.1641249999999999,1.1642000000000001,1.9999999999908977,2026-06-02
2026-06-02 12:06:00+03:00,1.16421,1.16422,1.16412,1.16415,1.16422,1.16423,1.16414,1.16419,1.164215,1.164225,1.16413,1.16417,4.000000000004,2026-06-02
2026-06-02 12:07:00+03:00,1.16416,1.16418,1.1641,1.16416,1.16419,1.1642,1.16413,1.16418,1.1641750000000002,1.16419,1.164115,1.16417,1.9999999999908977,2026-06-02
2026-06-02 12:08:00+03:00,1.16415,1.16416,1.16411,1.16411,1.16418,1.16419,1.16414,1.16414,1.1641650000000001,1.1641750000000002,1.1641249999999999,1.1641249999999999,2.9999999999974487,2026-06-02
2026-06-02 12:09:00+03:00,1.1641,1.16417,1.16407,1.16415,1.16414,1.16419,1.16409,1.16419,1.16412,1.16418,1.16408,1.16417,4.000000000004,2026-06-02
2026-06-02 12:10:00+03:00,1.16416,1.16417,1.16411,1.16412,1.16419,1.16419,1.16413,1.16416,1.1641750000000002,1.16418,1.16412,1.1641400000000002,4.000000000004,2026-06-02
2026-06-02 12:11:00+03:00,1.16412,1.16417,1.16411,1.16415,1.16414,1.16419,1.16414,1.16417,1.16413,1.16418,1.1641249999999999,1.1641599999999999,1.9999999999908977,2026-06-02
2026-06-02 12:12:00+03:00,1.16414,1.1642,1.16414,1.16417,1.16417,1.16423,1.16416,1.16419,1.164155,1.164215,1.16415,1.16418,2.0000000000131024,2026-06-02
2026-06-02 12:13:00+03:00,1.16417,1.16417,1.16406,1.16406,1.16418,1.16418,1.1641,1.1641,1.164175,1.164175,1.16408,1.16408,3.9999999999817955,2026-06-02
2026-06-02 12:14:00+03:00,1.16407,1.16413,1.16403,1.16411,1.16411,1.16416,1.16404,1.16413,1.1640899999999998,1.164145,1.164035,1.16412,2.0000000000131024,2026-06-02
2026-06-02 12:15:00+03:00,1.16412,1.16412,1.16407,1.16409,1.16413,1.16417,1.1641,1.16414,1.164125,1.164145,1.164085,1.164115,4.999999999988347,2026-06-02
2026-06-02 12:16:00+03:00,1.16408,1.1641,1.16402,1.16408,1.16413,1.16414,1.16406,1.1641,1.1641050000000002,1.16412,1.16404,1.1640899999999998,1.9999999999908977,2026-06-02
2026-06-02 12:17:00+03:00,1.16407,1.16411,1.16406,1.16409,1.1641,1.16414,1.1641,1.16412,1.164085,1.1641249999999999,1.16408,1.1641050000000002,2.9999999999974487,2026-06-02
2026-06-02 12:18:00+03:00,1.16408,1.16412,1.16407,1.16412,1.16412,1.16415,1.16409,1.16415,1.1641,1.164135,1.16408,1.164135,2.9999999999974487,2026-06-02
2026-06-02 12:19:00+03:00,1.16412,1.16414,1.16411,1.16412,1.16414,1.16417,1.16414,1.16416,1.16413,1.164155,1.1641249999999999,1.1641400000000002,4.000000000004,2026-06-02
2026-06-02 12:20:00+03:00,1.16414,1.16423,1.16414,1.16422,1.16416,1.16427,1.16416,1.16424,1.16415,1.16425,1.16415,1.1642299999999999,1.9999999999908977,2026-06-02
2026-06-02 12:21:00+03:00,1.16423,1.16423,1.16416,1.16416,1.16424,1.16427,1.1642,1.16421,1.1642350000000001,1.16425,1.16418,1.164185,4.999999999988347,2026-06-02
2026-06-02 12:22:00+03:00,1.16417,1.16419,1.1641,1.1641,1.16419,1.16423,1.16415,1.16415,1.16418,1.1642100000000002,1.1641249999999999,1.1641249999999999,5.000000000010552,2026-06-02
2026-06-02 12:23:00+03:00,1.16412,1.16418,1.16408,1.16418,1.16415,1.16422,1.16413,1.16421,1.164135,1.1642000000000001,1.1641050000000002,1.1641949999999999,2.9999999999974487,2026-06-02
2026-06-02 12:24:00+03:00,1.1642,1.16429,1.1642,1.16427,1.16422,1.16432,1.16422,1.16432,1.16421,1.1643050000000001,1.16421,1.164295,5.000000000010552,2026-06-02
2026-06-02 12:25:00+03:00,1.16427,1.16428,1.16422,1.16426,1.1643,1.16431,1.16426,1.16431,1.164285,1.164295,1.16424,1.164285,4.999999999988347,2026-06-02
2026-06-02 12:26:00+03:00,1.16426,1.16428,1.1642,1.16428,1.16428,1.16431,1.16423,1.16431,1.1642700000000001,1.164295,1.164215,1.164295,2.9999999999974487,2026-06-02
2026-06-02 12:27:00+03:00,1.16428,1.16431,1.16421,1.1643,1.1643,1.16435,1.16427,1.16433,1.1642899999999998,1.16433,1.16424,1.164315,3.000000000019653,2026-06-02
2026-06-02 12:28:00+03:00,1.16428,1.16433,1.16419,1.16432,1.16432,1.16437,1.16423,1.16435,1.1643,1.16435,1.1642100000000002,1.164335,2.9999999999974487,2026-06-02
2026-06-02 12:29:00+03:00,1.16429,1.16433,1.16427,1.16432,1.16434,1.16436,1.16431,1.16435,1.164315,1.164345,1.1642899999999998,1.164335,2.9999999999974487,2026-06-02
2026-06-02 12:30:00+03:00,1.16432,1.16436,1.1643,1.16432,1.16437,1.16439,1.16433,1.16434,1.164345,1.1643750000000002,1.164315,1.16433,1.9999999999908977,2026-06-02
2026-06-02 12:31:00+03:00,1.1643,1.16441,1.1643,1.16431,1.16434,1.16444,1.16432,1.16435,1.16432,1.164425,1.16431,1.16433,4.000000000004,2026-06-02
2026-06-02 12:32:00+03:00,1.16433,1.16434,1.16428,1.16432,1.16434,1.16436,1.16431,1.16433,1.164335,1.16435,1.164295,1.164325,1.0000000000065512,2026-06-02
2026-06-02 12:33:00+03:00,1.16431,1.16433,1.16429,1.1643,1.16433,1.16436,1.1643,1.16435,1.16432,1.164345,1.164295,1.1643249999999998,5.000000000010552,2026-06-02
2026-06-02 12:34:00+03:00,1.16431,1.16442,1.16428,1.16442,1.16434,1.16447,1.16433,1.16446,1.1643249999999998,1.164445,1.1643050000000001,1.16444,4.000000000004,2026-06-02
