Asia/Riyadh,Open,High,Low,Close,Volume
2026-06-05T04:09:00+03:00,1.16125,1.16128,1.16123,1.16125,58950000
2026-06-05T04:10:00+03:00,1.16125,1.16129,1.16124,1.16126,57150000
2026-06-05T04:11:00+03:00,1.16127,1.16132,1.16124,1.16132,45000000
2026-06-05T04:12:00+03:00,1.16131,1.16133,1.16128,1.16128,22050000
2026-06-05T04:13:00+03:00,1.16129,1.16131,1.16124,1.16129,42300000
2026-06-05T04:14:00+03:00,1.16128,1.16128,1.16118,1.16118,42750000
2026-06-05T04:15:00+03:00,1.16118,1.16132,1.16117,1.16125,76950000
2026-06-05T04:16:00+03:00,1.16125,1.16125,1.16122,1.16123,19800000
2026-06-05T04:17:00+03:00,1.16123,1.16128,1.16119,1.16122,38250000
2026-06-05T04:18:00+03:00,1.16123,1.16125,1.16114,1.16124,47700000
2026-06-05T04:19:00+03:00,1.16126,1.16128,1.16124,1.16126,22050000
2026-06-05T04:20:00+03:00,1.16126,1.16126,1.16118,1.16122,40050000
2026-06-05T04:21:00+03:00,1.16121,1.16123,1.16115,1.16117,23850000
2026-06-05T04:22:00+03:00,1.16117,1.16123,1.16114,1.1612,41400000
2026-06-05T04:23:00+03:00,1.16119,1.16122,1.16116,1.16119,65700000
2026-06-05T04:24:00+03:00,1.16118,1.1612,1.1611,1.16113,69300000
2026-06-05T04:25:00+03:00,1.16114,1.16114,1.16101,1.16101,72000000
2026-06-05T04:26:00+03:00,1.161,1.16102,1.16097,1.161,58500000
2026-06-05T04:27:00+03:00,1.16101,1.16107,1.16099,1.16106,65700000
2026-06-05T04:28:00+03:00,1.16105,1.16115,1.16105,1.16114,72900000
2026-06-05T04:29:00+03:00,1.16114,1.16119,1.16113,1.16115,47700000
2026-06-05T04:30:00+03:00,1.16117,1.16119,1.16111,1.16114,84600000
2026-06-05T04:31:00+03:00,1.16116,1.16131,1.16116,1.16129,72450000
2026-06-05T04:32:00+03:00,1.16131,1.16135,1.16127,1.16132,94950000
2026-06-05T04:33:00+03:00,1.16134,1.16141,1.16132,1.1614,49050000
2026-06-05T04:34:00+03:00,1.1614,1.1614,1.16128,1.16128,56700000
2026-06-05T04:35:00+03:00,1.16128,1.16132,1.16125,1.16127,51300000
2026-06-05T04:36:00+03:00,1.16125,1.16128,1.16123,1.16128,40050000
2026-06-05T04:37:00+03:00,1.16129,1.1613,1.16124,1.16124,46350000
2026-06-05T04:38:00+03:00,1.16123,1.16124,1.16118,1.16119,25200000
2026-06-05T04:39:00+03:00,1.16119,1.16123,1.16116,1.16118,55800000
2026-06-05T04:40:00+03:00,1.16116,1.16119,1.16111,1.16113,64800000
2026-06-05T04:41:00+03:00,1.16113,1.16118,1.16111,1.16114,46800000
2026-06-05T04:42:00+03:00,1.16113,1.16129,1.16112,1.16129,69750000
2026-06-05T04:43:00+03:00,1.16127,1.16129,1.16122,1.16129,74250000
2026-06-05T04:44:00+03:00,1.16128,1.16135,1.16125,1.16134,64350000
2026-06-05T04:45:00+03:00,1.16134,1.16135,1.16129,1.16133,48600000
2026-06-05T04:46:00+03:00,1.16133,1.16133,1.16131,1.16132,39600000
2026-06-05T04:47:00+03:00,1.16134,1.1614,1.16133,1.16139,37800000
2026-06-05T04:48:00+03:00,1.16138,1.16139,1.16134,1.16136,48150000
2026-06-05T04:49:00+03:00,1.16137,1.1614,1.16134,1.16135,47250000
2026-06-05T04:50:00+03:00,1.16136,1.16144,1.16133,1.16143,85500000
2026-06-05T04:51:00+03:00,1.16142,1.16142,1.16138,1.1614,45000000
2026-06-05T04:52:00+03:00,1.1614,1.16141,1.16139,1.16141,13500000
2026-06-05T04:53:00+03:00,1.1614,1.16148,1.1614,1.16144,21600000
2026-06-05T04:54:00+03:00,1.16146,1.16149,1.1614,1.1614,33300000
2026-06-05T04:55:00+03:00,1.1614,1.16148,1.16139,1.16148,31500000
2026-06-05T04:56:00+03:00,1.16148,1.16148,1.1613,1.1613,53550000
